"subject_name","session","block","trial","stim1","stim2","feedback","C_st","C","o","stim_time","choice_time","feedback_time","acc","p_r1","p_pun1","p_r2","p_pun2","Q_chosen","Q_chosen_new","Q_unchosen","RPE","delta_Q","log_asym","R_mean","R_r","R_pun","outcome","RPE_wins","Q_chosen_wins","Q_unchosen_wins","Q_chosen_new_wins","delta_Q_wins","run_number","Q_diff"
221604,40,1003,4,191,189,0,0,191,-1,1621288775087,1621288776339,1621288781914,1,0.5,0.5,0.15,0.7,0,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,0,0,NA,NA,4,0
221604,40,1003,5,189,191,0,0,189,0,1621288785129,1621288786886,1621288791107,0,0.15,0.7,0.5,0.5,0,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"nothing",NA,0,0,NA,NA,4,0
221604,40,1003,11,189,190,0,1,190,1,1621288842390,1621288843196,1621288846887,1,0.15,0.7,0.7,0.15,0.981897134967026,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,0.981897134967026,0,NA,NA,4,0.981897134967026
221604,40,1003,12,191,190,0,1,190,1,1621288848960,1621288849716,1621288855681,1,0.5,0.5,0.7,0.15,0.981897134967026,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,0.981897134967026,0,NA,NA,4,0.981897134967026
221604,40,1003,18,189,190,0,1,190,1,1621288905146,1621288905876,1621288909562,1,0.15,0.7,0.7,0.15,1.30919617995604,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.30919617995604,0,NA,NA,4,1.30919617995604
221604,40,1003,22,189,191,0,1,191,-1,1621288939869,1621288940892,1621288944473,1,0.15,0.7,0.5,0.5,1.96379426993405,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,1.96379426993405,0,NA,NA,4,1.96379426993405
221604,40,1003,23,190,191,0,0,190,1,1621288947590,1621288948478,1621288952101,1,0.7,0.15,0.5,0.5,1.47284570245054,NA,1.96379426993405,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.47284570245054,1.96379426993405,NA,NA,4,-0.490948567483513
221604,40,1003,24,191,190,0,1,190,-1,1621288954675,1621288955305,1621288960562,1,0.5,0.5,0.7,0.15,1.47284570245054,NA,1.96379426993405,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,1.47284570245054,1.96379426993405,NA,NA,4,-0.490948567483513
221604,40,1003,29,190,189,0,0,190,-1,1621288995859,1621288996708,1621289000352,1,0.7,0.15,0.15,0.7,1.57103541594724,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,1.57103541594724,0,NA,NA,4,1.57103541594724
221604,40,1003,46,189,191,0,1,191,-1,1621289152271,1621289153896,1621289157848,1,0.15,0.7,0.5,0.5,1.96379426993405,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,1.96379426993405,0,NA,NA,4,1.96379426993405
221604,40,1003,52,191,190,0,1,190,1,1621289203399,1621289204196,1621289209680,1,0.5,0.5,0.7,0.15,0.814100254615817,NA,1.96379426993405,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,0.814100254615817,1.96379426993405,NA,NA,4,-1.14969401531824
221604,40,1003,54,189,191,0,1,191,-1,1621289222882,1621289224085,1621289228835,1,0.15,0.7,0.5,0.5,1.96379426993405,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,1.96379426993405,0,NA,NA,4,1.96379426993405
221604,40,1003,58,190,189,0,0,190,-1,1621289257168,1621289259063,1621289265160,1,0.7,0.15,0.15,0.7,0.814100254615817,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,0.814100254615817,0,NA,NA,4,0.814100254615817
221604,40,1003,59,189,190,0,1,190,1,1621289267299,1621289267975,1621289274054,1,0.15,0.7,0.7,0.15,0.814100254615817,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,0.814100254615817,0,NA,NA,4,0.814100254615817
221604,40,1003,60,190,191,0,0,190,0,1621289276524,1621289277206,1621289280800,1,0.7,0.15,0.5,0.5,0.814100254615817,NA,1.96379426993405,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"nothing",NA,0.814100254615817,1.96379426993405,NA,NA,4,-1.14969401531824
221604,40,1003,64,189,191,0,1,191,-1,1621289316528,1621289317438,1621289323039,1,0.15,0.7,0.5,0.5,1.96379426993405,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,1.96379426993405,0,NA,NA,4,1.96379426993405
221604,40,1003,66,191,190,0,1,190,1,1621289331667,1621289332328,1621289335947,1,0.5,0.5,0.7,0.15,0.918617892372021,NA,1.96379426993405,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,0.918617892372021,1.96379426993405,NA,NA,4,-1.04517637756203
221604,40,1003,72,190,191,0,0,190,1,1621289391794,1621289392590,1621289397740,1,0.7,0.15,0.5,0.5,1.00571592383552,NA,1.16936544633003,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.00571592383552,1.16936544633003,NA,NA,4,-0.163649522494504
221604,40,1003,76,190,191,0,0,190,1,1621289431261,1621289432572,1621289436181,1,0.7,0.15,0.5,0.5,1.00571592383552,NA,0.601916286612867,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.00571592383552,0.601916286612867,NA,NA,4,0.403799637222656
221604,40,1003,78,190,189,0,0,190,-1,1621289449446,1621289450145,1621289453753,1,0.7,0.15,0.15,0.7,1.00571592383552,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"loss",NA,1.00571592383552,0,NA,NA,4,1.00571592383552
221604,40,1003,83,189,190,0,1,190,1,1621289500245,1621289500922,1621289504552,1,0.15,0.7,0.7,0.15,1.07941425815079,NA,0,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.07941425815079,0,NA,NA,4,1.07941425815079
440612,35,1000,4,75,189,0,0,75,1,1666645767555,1666645768848,1666645773387,0,0.15,0.7,0.4,0.4,-0.295159723067995,NA,0.28437511180304,NA,NA,0.876292969858602,0.889674415191512,1.32667791903245,-0.61574013952485,"win",NA,-0.295159723067995,0.28437511180304,NA,NA,1,-0.579534834871036
440612,35,1000,5,53,189,0,0,53,-1,1666645777770,1666645778966,1666645779887,NA,0.5,0.5,0.4,0.4,2.36886539523574,NA,0.28437511180304,NA,NA,0.876292969858602,0.889674415191512,1.32667791903245,-0.61574013952485,"loss",NA,2.36886539523574,0.28437511180304,NA,NA,1,2.0844902834327
440612,35,1000,6,56,189,0,1,-1000,0,1666645783503,1666645784386,1666645788770,NA,0.15,0.15,0.4,0.4,0.28437511180304,NA,-0.242010243155926,NA,NA,0.876292969858602,0.889674415191512,1.32667791903245,-0.61574013952485,"nothing",NA,0.28437511180304,-0.242010243155926,NA,NA,1,0.526385354958966
440612,35,1000,13,63,189,0,1,-1000,0,1666645840184,1666645841315,1666645843018,1,0.15,0.7,0.4,0.4,0.28437511180304,NA,-3.25200724762276,NA,NA,0.876292969858602,0.889674415191512,1.32667791903245,-0.61574013952485,"nothing",NA,0.28437511180304,-3.25200724762276,NA,NA,1,3.5363823594258
